experiment_id,sentence,pattern,backend_label,noise_kind,noise_level,expected_indices,top_indices,overlap,success_prob
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-amplitude-medium,amplitude,medium,0,63,0,0.009766
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-amplitude-high,amplitude,high,0,35,0,0.010742
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-amplitude-very-high,amplitude,very-high,0,48,0,0.020996
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-phase-ultra-low,phase,ultra-low,0,0,1,0.935547
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-phase-low,phase,low,0,0,1,0.534180
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-phase-medium,phase,medium,0,0,1,0.063965
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-phase-high,phase,high,0,27,0,0.016602
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-phase-very-high,phase,very-high,0,27,0,0.014160
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-depolarizing-ultra-low,depolarizing,ultra-low,0,0,1,0.841309
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-depolarizing-low,depolarizing,low,0,0,1,0.182617
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-depolarizing-medium,depolarizing,medium,0,27,0,0.014648
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-depolarizing-high,depolarizing,high,0,27,0,0.014160
9,humberto revisou o codigo antigo mas nao conseguiu encontrar o erro,humberto,simulator-depolarizing-very-high,depolarizing,very-high,0,27,0,0.014160
